input_doi,matched_doi,confidence
10.48550/arxiv.astro-ph/9804118,10.1086/306158,0.9592
10.48550/arxiv.1201.0751,10.1016/j.jmps.2012.05.006,1.0000
10.48550/arxiv.1701.02645,10.1103/physrevd.95.084005,0.9871
10.48550/arxiv.2106.08222,10.1093/mnras/stab1748,1.0000
10.48550/arxiv.hep-ph/9412298,10.1016/0010-4655(95)00081-p,1.0000
10.48550/arxiv.cond-mat/0408032,10.1103/physrevlett.94.037005,1.0000
10.48550/arxiv.1810.12231,10.1109/tac.2019.2959999,0.9929
10.48550/arxiv.nlin/0511007,10.3842/sigma.2005.004,0.9913
10.48550/arxiv.1405.0334,10.1016/j.intermet.2014.05.002,1.0000
10.48550/arxiv.2111.10915,10.1090/mcom/3778,1.0000
10.48550/arxiv.2502.02890,10.3390/rs17030352,1.0000
10.48550/arxiv.1508.01812,10.1016/j.nuclphysa.2015.11.014,0.9908
10.48550/arxiv.hep-ph/9709213,10.1016/s0550-3213(97)00751-7,0.9721
10.48550/arxiv.hep-lat/0308009,10.1103/physrevd.69.034504,1.0000
10.48550/arxiv.hep-ex/0510036,10.1063/1.2173584,1.0000
10.48550/arxiv.1501.07223,10.1103/physrevb.91.155436,1.0000
10.48550/arxiv.2409.06537,10.1140/epjb/s10051-024-00764-7,1.0000
10.48550/arxiv.2005.10846,10.3847/1538-4357/ab8f8e,0.9765
10.48550/arxiv.2209.07852,10.1103/physrevlett.131.011801,0.8188
10.48550/arxiv.hep-ph/0403012,10.1088/1126-6708/2004/04/067,1.0000
10.48550/arxiv.2209.06193,10.1103/physreva.106.062442,1.0000
10.48550/arxiv.1202.1857,10.1103/physreva.86.013409,1.0000
10.48550/arxiv.astro-ph/0311112,10.1086/381069,0.9733
10.48550/arxiv.2309.01533,10.1140/epja/s10050-023-01199-x,1.0000
10.48550/arxiv.1808.09496,10.1080/20421338.2021.1884326,0.9712
10.48550/arxiv.0707.3629,10.1103/physrevlett.99.137203,0.9417
10.48550/arxiv.1905.04358,10.1038/s41598-019-50870-1,1.0000
10.48550/arxiv.1903.05506,10.1103/physrevb.100.024435,0.9316
10.48550/arxiv.0710.3797,10.1103/physrevb.77.125338,1.0000
10.48550/arxiv.1404.7414,10.5334/jors.85,0.8039
10.48550/arxiv.1412.0273,10.1103/physrevlett.114.135501,1.0000
10.48550/arxiv.hep-th/0505226,10.1088/1126-6708/2005/08/053,1.0000
10.48550/arxiv.2105.10918,10.3390/cryst11101257,0.9647
10.48550/arxiv.1608.05015,10.3103/s1066530716040050,1.0000
10.48550/arxiv.2303.10333,10.1109/jbhi.2024.3360239,0.9587
10.48550/arxiv.cond-mat/0201137,10.1103/physrevb.66.054413,0.8775
10.48550/arxiv.astro-ph/0012481,10.1086/320461,0.8527
10.48550/arxiv.math/0507229,10.1016/j.spa.2005.09.005,1.0000
10.48550/arxiv.1601.07523,10.1103/physrevd.93.075032,1.0000
10.48550/arxiv.cond-mat/0407191,10.1103/physreve.70.061602,1.0000
10.48550/arxiv.1004.4420,10.1016/j.tcs.2013.03.025,0.9712
10.48550/arxiv.cond-mat/0510189,10.1063/1.2382733,0.8464
10.48550/arxiv.nucl-th/9603017,10.1016/0375-9474(96)00154-6,1.0000
10.48550/arxiv.2203.12010,10.1140/epjc/s10052-022-10530-7,1.0000
10.48550/arxiv.1105.6127,10.1007/s10714-011-1323-2,1.0000
10.48550/arxiv.1602.00011,10.1051/0004-6361/201527691,0.9899
10.48550/arxiv.0709.4121,10.1103/physrevb.77.014513,1.0000
10.48550/arxiv.2201.09816,10.1115/1.4053961,1.0000
10.48550/arxiv.1501.07171,10.1016/j.geomphys.2015.07.016,0.8784
10.48550/arxiv.2311.01736,10.1016/j.compstruct.2024.118185,1.0000
10.48550/arxiv.0710.5403,10.1103/physreve.77.031105,0.8906
10.48550/arxiv.1512.03837,10.1103/physrevd.93.086007,1.0000
10.48550/arxiv.1305.0823,10.1093/mnras/stt1251,1.0000
10.48550/arxiv.cond-mat/9909324,10.1103/physreve.61.153,1.0000
10.48550/arxiv.1502.02829,10.1103/physrevb.91.075201,1.0000
10.48550/arxiv.1405.4588,10.1103/physrevb.89.205434,1.0000
10.48550/arxiv.1801.07068,10.1093/mnras/sty646,0.9967
10.48550/arxiv.0904.4421,10.1109/tns.2009.2029104,1.0000
10.48550/arxiv.2404.12738,10.1109/tnet.2024.3398778,1.0000
10.48550/arxiv.nucl-ex/0310028,10.1140/epja/i2003-10130-3,0.9810
10.48550/arxiv.2105.04520,10.1063/5.0076731,1.0000
10.48550/arxiv.2401.14141,10.1109/bigdata59044.2023.10386402,0.8824
10.48550/arxiv.1508.04000,10.1063/1.4949769,1.0000
10.48550/arxiv.2307.00634,10.1080/10586458.2024.2410988,1.0000
10.48550/arxiv.nucl-th/0401047,10.1103/physrevc.69.034302,1.0000
10.48550/arxiv.1903.04116,10.1016/j.jmaa.2019.123396,1.0000
10.48550/arxiv.1310.6763,10.1103/physrevd.89.083530,1.0000
